vehicle,name_tc,vehicle_effective_date,vehicle_value
PC9480TD-SM-03-084,偉金建築,,
JAANPR70L47101042,偉金建築,,
JHMGD18707S227163,偉金建築,,
WDB9061352N344555,偉金建築,,
JAANPR66LS-7100763,偉金建築,,
JAANPR75K97100768,偉金建築,,
JAANPR75K97100767,偉金建築,,
WMAN08ZZ69Y226132,華盛工程,,
JT7X2RB7107001794,偉金建築,,
JT7X2RB7107001834,偉金建築,,
JT7X2RB7107001986,偉金建築,,
JAAN1R75KA7100167,偉金建築,,
NCP20-0331962,偉金建築,,
JAANPR75HB7101138,偉金建築,,
JT7X2RB7107003098,偉金建築,,
NCP81-0115605,偉金建築,,
RFGHV15WYCS004714,偉金建築,,
JTDKD3B3701028250,偉金建築,,
CWB8E-00391,偉金建築,,
JT7X2RB7107001931,偉金建築,,
KNABX512MGT231030,偉金建築,,
LGAX5DF40F3816051,偉金建築,,
KNABX512MGT251093,偉金建築,,
JALFVR347F7000252,偉金建築,,
JALFVR347F7001239,偉金建築,,
JALFVR347F7000273,偉金建築,,
LGAX2C135G1816450,偉金建築,,
KNABX512MHT266306,偉金建築,,
KNABX512MHT266307,偉金建築,,
JALFXZ777H7000003,華盛工程,,
LVBV4JBB3GJ004078,偉金建築,,
LVBV3JBB1GJ019746,偉金建築,,
LGAX2C138G1816491,偉金建築,,
LGAX2C13XG1816492,偉金建築,,
LGAX2C137G1816496,偉金建築,,
LGAX2C132G1816499,偉金建築,,
LGAX2C131G1816493,偉金建築,,
LGAX2C130G1816498,偉金建築,,
JAANPR75KG7100839,偉金建築,,
JAANPR75KG7100832,偉金建築,,
JAANPR75KG7101022,偉金建築,,
LGAX2C139G1816497,偉金建築,,
LGAX2C133G1816494,偉金建築,,
JAANPR75KG7101023,偉金建築,,
JAANPR75KG7100831,偉金建築,,
JAANPR75KG7101021,偉金建築,,
JAANPR75HG7102568,偉金建築,,
JAANPR75HG7102198,偉金建築,,
LGAX2C140F1816069,偉金建築,,
JAANPR75HG7102666,偉金建築,,
LVBV3JBB2GJ032764,偉金建築,,
JAANPR75KG7101025,偉金建築,,
JHHYCT2H60K012637,偉金建築,,
YV2TH60A0GZ105425,偉金建築,,
MPATFR86JGT003346,偉金建築,,
LGAX2C138G1817334,偉金建築,,
LGAX2C134G1817332,偉金建築,,
LGAX2C136G1817333,偉金建築,,
LVBV3JBB4GJ032765,偉金建築,,
LVBV3JBB6GJ032766,偉金建築,,
LVBV3JBB8GJ032770,偉金建築,,
MPATFR86JGT003347,偉金建築,,
LVBV3JBB1GJ032769,偉金建築,,
LVBV3JBBXGJ032768,偉金建築,,
LGAX2C133G1817337,偉金建築,,
LGAX2C135G1817338,偉金建築,,
LGAX2C131G1817336,偉金建築,,
LGAX2C130G1817330,偉金建築,,
JAANPR75HG7101538,偉金建築,,
JAANPR75KF7106187,偉金建築,,
JAANPR75KG7101882,偉金建築,,
LGAX2C130G1817344,華盛工程,,
LGAX2C132G1817345,偉金建築,,
LGAX2C130H1817684,偉金建築,,
LGAX5D643J8819683,華盛工程,,
JHDSH1EEKXXX10015,偉金建築,,
LZZ1EXVB8JW354517,偉金建築,,
LZZ1EXVB3FW118817,偉金建築,,
NCP100-2016700,偉金建築,,
LZZ1BBMG7EW869801,偉金建築,,
JN1MC2E26Z0005509,偉金建築,,
MPATFR86JFT003968,冠毅工程,,
V93W-0900227,中國路橋,,
V93W-0900228,中國路橋,,
MPATFR86JFT004527,冠毅工程,,
V93W-0900230,中國路橋,,
JM6CW1071G0123573,冠毅工程,,
JM6CW1071G0123478,冠毅工程,,
JM6CW1071G0123582,冠毅工程,,
JM6CW1071G0123570,冠毅工程,,
JM6CW1071G0123559,冠毅工程,,
JM6CW1071G0123499,冠毅工程,,
JM6CW1071G0123465,冠毅工程,,
MPATFR86JGT001834,冠毅工程,,
JM6CW1071G0123564,冠毅工程,,
MPATFR86JGT001835,冠毅工程,,
MPATFR86JGT001290,冠毅工程,,
MPATFR86JGT003344,冠毅工程,,
MPATFR86JGT003345,冠毅工程,,
JM6CW1071H0127821,冠毅工程,,
JM6CW1071H0127979,冠毅工程,,
CV5W-1200957,冠毅工程,,
JM6CW1071H0126126,冠毅工程,,
WVWZZZ9NZ6Y187938,偉金建築,,
FM657L-B00152,偉金建築,,
JAANPR58LN-7103411,華盛工程,,
JAANPR66PR-7100074,華盛工程,,
JAANPR66LP-7102394,華盛工程,,
JAANPR66LN-7100846,華盛工程,,
JAANPR66LS-7101395,偉金建築,,
JAANPR66PS-7100575,華盛工程,,
JAANPR66LS-7103188,偉金建築,,
JAANPR66PT-7101394,偉金建築,,
JAANPR66LT-7103064,華盛工程,,
JALFTR32NP-3000021,偉金建築,,
JALFVR23PX-300007,偉金建築,,
FH211H-A00363,華盛工程,,
JAANPR66LS-7103675,華盛工程,,
FM617J-B00071,偉金建築,,
JALFVR23PV-3000235,偉金建築,,
JALFVR23P57000031,華盛工程,,
JAANPR70L57100166,華盛工程,,
JALFVR23P57000048,華盛工程,,
JAANPR70L57100160,華盛工程,,
JAANPR70L57100071,華盛工程,,
JALFVR23P57000030,華盛工程,,
JAANPR70L57100072,偉金建築,,
JALFVR23P57000028,華盛工程,,
MPATFS54H4H534030,華盛工程,,
MPATFS54H4H533929,華盛工程,,
JTDKW223500369768,華盛工程,,
JAANPR70L17100137,偉金建築,,
JAANPR66PS-7101461,偉金建築,,
JAANPR66LV-7100565,偉金建築,,
JAANPR66PV-7100261,偉金建築,,
JAANPR70PY7100808,偉金建築,,
JAANPR70P27100233,偉金建築,,
JALFVR23P57000099,偉金建築,,
JALFVR34787000095,偉金建築,,
JAANPR75K87100101,偉金建築,,
JALFVR34787000091,偉金建築,,
JT7X2RB7107001808,偉金建築,,
JAANPR75HA7100772,偉金建築,,
JAANPR75HA7100779,偉金建築,,
JAANPR75KA7100644,偉金建築,,
JAANPR75HA7100777,偉金建築,,
JAANPR75HA7100686,偉金建築,,
JAANPR75HA7100685,偉金建築,,
NCP20-0329371,偉金建築,,
JAAN1R75KB7100239,偉金建築,,
NCP81-0041991,偉金建築,,
JAAN1R75KB7100310,偉金建築,,
JT7X2RB7107005727,偉金建築,,
JAANPR75HE7103628,偉金建築,,
JAANPR75HE7102200,偉金建築,,
JALFVR347E7000431,偉金建築,,
KNABX512MGT230844,偉金建築,,
JN1MC2E26Z0005618,偉金建築,,
LGAX2C135G1816447,偉金建築,,
JALFRR90KF7000112,偉金建築,,
JHDFS1ELRXXX10146,偉金建築,,
LGAX2C132G1817331,偉金建築,,
LGAX2C139G1817343,偉金建築,,
LGAX2C137G1817342,華盛工程,,
LGAX2C13XG1817335,偉金建築,,
LGAX2C136G1817347,偉金建築,,
LGAX2C138G1817348,偉金建築,,
LGAX2C134G1817346,偉金建築,,
LGAX2C135G1817341,偉金建築,,
JALFVR347H7000708,赤道綫,,
LGAX2C135H1818538,偉金建築,,
WVWZZZAUZJW904231,赤道綫,,
JTDZZ9H310L000524,赤道綫,,
JALCYH52SA7000068,偉金建築,,
LGAX2C134H1818711,偉金建築,,
LZZ1BBMG5EW869795,偉金建築,,
WV2ZZZ2KZJX160920,偉金建築,,
LZZ1BBMG5EW871630,偉金建築,,
LZZ1BBMG0EW872071,偉金建築,,
NCP100-2016057,偉金建築,,
NCP100-0134371,偉金建築,,
LZZ1BBMG1FW110837,偉金建築,,
LZZ1BBMGXFW110836,偉金建築,,
LZZ1BBMG8FW110835,偉金建築,,
ZA9S5020E6AC38281,偉金建築,,
WV2ZZZ2KZKX098541,偉金建築,,
WMAN08ZZ2LY410927,偉金建築,,
WMAN08ZZ4LY410833,偉金建築,,
WMAN08ZZ3LY410614,偉金建築,,
WMAN08ZZ9LY410911,偉金建築,,
WMAN08ZZ5LY410775,偉金建築,,
MPATFR86JDT000803,偉金建築,,
MPATFR86JDT001025,偉金建築,,
MPATFR86JDT001024,偉金建築,,
MPATFR86JCT101113,偉金建築,,
MPATFR86JDT000712,偉金建築,,
MPATFR86JCT101112,偉金建築,,
MPATFR86JDT000713,偉金建築,,
V93W1200157,偉金建築,,
GC27-800141,偉金建築,,
GC27-800129,偉金建築,,
GC27-800142,偉金建築,,
GC27-800133,偉金建築,,
GC27-800134,偉金建築,,
GC27-800145,偉金建築,,
GC27-800136,偉金建築,,
V93W1200153,偉金建築,,
MMCJLKL60LH132461,偉金建築,,
MMCJLKL60LH133842,偉金建築,,
MMCJLKL60LH133859,偉金建築,,
MMCJLKL60LH133832,偉金建築,,
MMCJLKL60LH133838,偉金建築,,
MMCJLKL60LH133888,偉金建築,,
WMAH21ZZ28M493806,偉金建築,,
JAANPR66LP-7102099,華盛工程,,
JAANPR70L47101051,華盛工程,,
JT7X2RB7107003071,偉金建築,,
JN1MC2E26Z0005490,偉金建築,,
YV2TH60AXDB640783,偉金建築,,
PKC8E-01295,偉金建築,,
YV2TH60A9DB640788,偉金建築,,
JTDBT42EX09070780,偉金建築,,
JTDBT22E300169384,偉金建築,,
JAAN1R75K87100201,偉金建築,,
JT7X2RB7107001934,偉金建築,,
JTFHT02P900060290,偉金建築,,
JAANPR75HB7101375,偉金建築,,
JT7X2RB8007000179,偉金建築,,
LVBV4JBB5GJ004082,偉金建築,,
JAAN1R75KJ7100192,偉金建築,,
JTDBT22E400246344,偉金建築,,
LGAX2C139J1820234,昇偉建築,,
JTDBT22E700014935,偉金建築,,
LJ11KCBE4L1112027,偉金建築,,
JTDBT22EX03307288,偉金建築,,
JTDBT22E203245000,偉金建築,,
JTDBT22E400154621,偉金建築,,
LJ11KCBE8L1112032,偉金建築,,
JTFSAFAP908024441,偉金建築,,
JTFSAFAP108024319,偉金建築,,
JTFSAFAPX08024223,偉金建築,,
LJ11KCBE6L1117603,偉金建築,,
LJ11KCBE8L1112029,偉金建築,,
JTDBT22E200324488,偉金建築,,
LJ11KCBD1L1122294,偉金建築,,
LJ11KCBD1L1122263,偉金建築,,
LJ11KRBD1L1125005,偉金建築,,
LJ11KRBDXL1125004,偉金建築,,
LJ11KCBD0M1111837,偉金建築,,
LJ11KCBD3M1112044,偉金建築,,
LJ11KCBD2M1111841,偉金建築,,
LJ11KCBD5M1112045,偉金建築,,
LJ11KCBD1M1112043,偉金建築,,
LJ11KCBD9M1111786,偉金建築,,
LJ11KCBD0M1111840,偉金建築,,
JALFXZ777G7000031,華盛工程,,
S402M-0059298,偉金建築,,
JALCYH52TG7000024,偉金建築,,
V93W-1000314,赤道綫,,
V93W-1000317,赤道綫,,
VR3ERHNS3LJ547514,偉金建築,,
VR3ERHNS3MJ542769,偉金建築,,
VR3ERHNS3LJ836040,偉金建築,,
VR3ERHNS3LJ797492,偉金建築,,
VR3ERHNS3MJ623483,偉金建築,,
VR3ERHNS3MJ623482,偉金建築,,
VR3ERHNS3MJ782949,偉金建築,,
VR3ERHNS3MJ782944,偉金建築,,
VR3ERHNS3MJ785620,偉金建築,,
VR3ERHNS3MJ782946,偉金建築,,
VR3ERHNS3MJ782948,偉金建築,,
VR3ERHNS3MJ782942,偉金建築,,
VR3ERHNS3MJ782951,偉金建築,,
VR3ERHNS3MJ782947,偉金建築,,
VR3ERHNS3MJ782945,偉金建築,,
VR3ERHNS3MJ782943,偉金建築,,
VR3ERHNS3MJ785619,偉金建築,,
VR3ERHNS3MJ785621,偉金建築,,
VR3ERHNS3MJ782950,偉金建築,,
JTFHT02PX00060413,偉金建築,,
LJ11KCBD1L1121016,偉金建築,,
LJ11KCBD5L1122265,偉金建築,,
NCP20-0346348,偉金建築,,
NCP21-0067025,偉金建築,,
NCP100-0139934,偉金建築,,
LJ11KCBD7M1111785,偉金建築,,
LJ11KCBD2M1111838,偉金建築,,
LJ11KCBD4M1111839,偉金建築,,
NCP20-0338464,偉金建築,,
JT7X2RB7107003092,偉金建築,,
LGAX2C144J1820246,偉金建築,,
JT7X2RB8007003304,偉金建築,,
JT7X2RB8007003279,偉金建築,,
JT7X2RB8007003297,偉金建築,,
JTDKB20U607846853,偉金建築,,
JTFHT02P800055632,華盛工程,,
JT7X2RB7107001983,偉金建築,,
JT7X2RB7107005385,偉金建築,,
JTDKD3B3801560753,偉金建築,,
JT7X2RB8007000211,偉金建築,,
JTDKD3B3301588010,偉金建築,,
LVBV4JBB2FJ057708,偉金建築,,
JHMGD18502S232297,聯盛建築,,
JAANPR66LR-7100203,華盛工程,,
JAANPR66LT-7104082,偉金建築,,
JAANPR70LY7101515,偉金建築,,
JAANPR66PV-7100347,偉金建築,,
JAANPR70L47101043,偉金建築,,
MPATFS54H5H530384,華盛工程,,
NCP20-0342413,偉金建築,,
LGAX2C134J1819766,昇偉建築,,
LGAX2C134J1820240,昇偉建築,,
LGAX2C136J1820238,昇偉建築,,
LGAX2C132J1820236,昇偉建築,,
LGAX2C138J1820239,昇偉建築,,
LGAX2C134J1820237,昇偉建築,,
LGAX2C130J1820235,昇偉建築,,
JTDBT22E903250615,偉金建築,,
JTDZZ9H350L000526,赤道綫,,
JT7X2RB8007000172,偉金建築,,
JTNGK3DH60B007770,偉金建築,,
JTNGZ3DH308054864,偉金建築,,
WDDNG71X29A240900,偉金建築,,
JTFSAFAP008028216,偉金建築,,
JTFSAFAP408029160,偉金建築,,
JTFSAFAP008028135,偉金建築,,
LGDCLA1G5MA124495,偉金建築,,
JTFHT02P000060596,偉金建築,,
JT7X2RB7107003027,偉金建築,,
JT7X2RB7107005799,偉金建築,,
JN1MC2E26Z0010069,偉金建築,,
JN1MC2E26Z0010075,偉金建築,,
JN1MC2E26Z0010052,偉金建築,,
JTDKD3B3501607978,赤道綫,,
WVWZZZAUZJW904154,赤道綫,,
WVWZZZAUZJW904107,赤道綫,,
JTDZZ9H370L000527,赤道綫,,
12048,偉金建築,,
JTDKD3B3401560801,偉金建築,,
JAANPR75HB7100960,偉金建築,,
JAAN1R75KC7100008,偉金建築,,
ZCFA1GD0002233595,華盛工程,,
JTFHT02P900055834,華盛工程,,
JTFHT02PX00055597,華盛工程,,
KMFWBX7KLCU504845,偉金建築,,
LGAX2C147H1817688,偉金建築,,
LJ11KCBD6H8023632,偉金建築,,
LJ11KCBE4K1112043,偉金建築,,
MMCJLKL60LH132478,偉金建築,,
MMCJLKL60LH133890,偉金建築,,
LGDCLA1G4NA103400,益耀工程,,
LGDCLA1G4NA500430,益耀工程,,
LGDCLA1G8NA500429,益耀工程,,
LGDCLA1G8NA103397,益耀工程,,
LGDCLA1G6NA500431,益耀工程,,
LGDCLA1GXNA500433,萬輝物流,,
JHMRP1850LC200220,萬輝物流,,
JHMRP1850LC200495,萬輝物流,,
JHMRP1850LC200576,萬輝物流,,
JHMRP1850LC200577,萬輝物流,,
JHMRP1850LC200602,萬輝物流,,
JHMRP1850LC200603,萬輝物流,,
JHMRP1850LC200667,萬輝物流,,
JHMRP1850LC200668,萬輝物流,,
JHMRP1850LC200664,萬輝物流,,
JHMRP1850LC200665,萬輝物流,,
JHMRP1850LC200689,萬輝物流,,
JHMRP1850LC200690,萬輝物流,,
JHMRP1850LC200692,萬輝物流,,
LHMRP1850LC200677,萬輝物流,,
LHMRP1850LC200678,萬輝物流,,
LHMRP1850LC200679,萬輝物流,,
LHMRP1850LC200680,萬輝物流,,
JHMRP3870LC201271,萬輝物流,,
JHMRP3870LC201299,萬輝物流,,
JHMRP3870LC201303,萬輝物流,,
JHMRP3870LC201304,萬輝物流,,
JHMRP3870LC201350,萬輝物流,,
JHMRP3870LC201348,萬輝物流,,
JHMRP3870LC201344,萬輝物流,,
JHMRP3870LC201345,萬輝物流,,
KPAY61EESMP146362,萬輝物流,,
KPAY61EESMP157215,萬輝物流,,
KPAY61EESMP157210,萬輝物流,,
KPAY61EESMP157214,萬輝物流,,
KPAY61EESMP157216,萬輝物流,,
JTDBT42E209046876,益耀工程,,
JTDBT42E309100637,益耀工程,,
JTDBT42E609105220,益耀工程,,
MMCJLKL60LH133869,偉金建築,,
JTDBT40E109073683,益耀工程,,
JTDBT42E309105711,益耀工程,,
JTDBT42E409100792,益耀工程,,
KPAY61EESNP160060,偉金建築,,
KPAY61EESNP157209,偉金建築,,
JTDBT40E409062807,益耀工程,,
LGDCLB1L3MH133335,益耀工程,,
LGDCLB1G3NH500447,益耀工程,,
LGDCLB1G5NH500448,益耀工程,,
LGDCLB1L1MH133527,益耀工程,,
LGDCLB1L1MH132975,益耀工程,,
LGDCLB1LXMH133526,益耀工程,,
LJ11KCBE3L1121558,益耀工程,,
LJ11KCBE1L1121557,益耀工程,,
LJ11KCBE6N1108967,益耀工程,,
LGDCLA1G9NA103411,益耀工程,,
LGDCLA1G6NA103401,益耀工程,,
LGDCLA1G7NA103410,益耀工程,,
LGDCLA1G9NA103408,益耀工程,,
LGDCLA1G0NA103409,益耀工程,,
LGDCLA1G0NA103412,益耀工程,,
LGDCLA1GXNA103398,益耀工程,,
LGDCLA1G1NA103399,益耀工程,,
JHMRP3870LC201431,偉金建築,,
JHMRP3870LC201358,偉金建築,,
JAAN1R75KF7100363,華盛工程,,
JHMRP3870LC201422,萬輝物流,,
JHMRP3870LC201380,萬輝物流,,
JHMRP3870LC201327,萬輝物流,,
LJ11KRBD0M1122114,益耀工程,,
LJ11KRBD2M1122115,赤道綫,,
JTFHT02P800191808,冠毅工程,,
JT753AEB005349977,益耀工程,,
JTFSAFAP508044119,偉金建築,,
JAANPR75HN7101512,偉金建築,,
LGAX2D130NT827525,益耀工程,,
LGAX2D134NT827527,益耀工程,,
LGAX2D137NT827828,益耀工程,,
LGAX2D135NT827827,益耀工程,,
LGAX2D132NT827526,益耀工程,,
LGAX2D136NT827528,益耀工程,,
LGAX2D139NT827829,益耀工程,,
LGAX2D135NT827830,益耀工程,,
LGAX2D137NT827831,益耀工程,,
JTDBT22E903324678,益耀工程,,
JTDBT22E403177119,益耀工程,,
JTDBT42EX09065577,益耀工程,,
JTDBT22E400296645,益耀工程,,
JTDBT22E903218845,益耀工程,,
JZDBT22E200018052,益耀工程,,
JTDBT42E409120847,益耀工程,,
JTDBT22E303278863,益耀工程,,
JTDBT22E603030283,益耀工程,,
JHMRP6830NX200028,萬輝物流,,
LGDCLA1G3NA109642,冠毅工程,,
LGDCLA1G0NA112403,偉金建築,,
LGDCLA1G5NA112400,偉金建築,,
LGDCLA1G1NA109641,偉金建築,,
MMCJLKL60NH020946,萬輝物流,,
MMCJLKL60NH021060,益耀工程,,
MMCJLKL60NH020990,益耀工程,,
MMCJLKL60NH020989,益耀工程,,
MMCJLKL60NH021058,益耀工程,,
MMCJLKL60MH021067,益耀工程,,
MMCJLKL60MH020987,益耀工程,,
MMCJLKL60NH021294,華盛工程,,
MMCJLKL60NH021296,華盛工程,,
MMCJLKL60NH021372,華盛工程,,
MMCJLKL60NH021298,華盛工程,,
MMCJLKL60NH021304,華盛工程,,
LGDCLA1GXNA121335,冠毅工程,,
LGDCLA1G7NA112401,偉金建築,,
LGDCLA1G2NA112404,偉金建築,,
VR3EFYHZRNJ578166,萬輝物流,,
VR3EFYHZRNJ578167,萬輝物流,,
LC0CE4DC3P0009883,偉金建築,,
LSJE24030PG020394,偉金建築,,
LSJE24031PG020498,偉金建築,,
LSJE24032PG020395,偉金建築,,
LSJE24034PG020589,偉金建築,,
LSJE24033PG020499,偉金建築,,
LSJE24030PG020590,偉金建築,,
LJ11KCBE4N1112094,益耀工程,,
WMA08DZZ9NY443969,益耀工程,,
WMA08DZZONY443553,益耀工程,,
ZA9S5020EDAC38330,益耀工程,,
LGDCLA1G6NA121333,偉金建築,,
LGDCLA1G4NA121329,偉金建築,,
LGDCLA1G4NA121330,偉金建築,,
LGDCLA1G8NA121334,偉金建築,,
LGDCLA1G2NA121331,偉金建築,,
LGDCLA1G2NA121328,偉金建築,,
LGDCLA1G4NA121332,偉金建築,,
,政府車,,
LSJE24034PG020480,偉金建築,,